,review_10,review_9or10,review_scores_value,superhost,host_days,host_days,response_rate,host_listings_count,host_verifications,host_pic,id_verified,neighbourhood_cleansed,borough,property_type,room_type,accommodates,bathrooms,bedrooms,beds,real_bed,amenities,price,sec_dep,cleaning_fee,extra_people,guests_included,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,business_travel_ready,cancellation_policy,lat,lon,galleries,rats
94,1,1,10,1,1398.0,1398.0,100,2.0,6,1,1,Williamsburg,Brooklyn,Loft,Entire home/apt,4,1.0,1.0,2.0,1,35,182,0.0,90.0,50,2,5,30,76,0,0,moderate,40.71453,-73.9551,12,8434
95,1,1,10,0,2909.0,2909.0,88,1.0,9,1,0,Lower East Side,Manhattan,Loft,Entire home/apt,4,1.0,1.0,2.0,1,20,400,500.0,125.0,50,3,3,10,5,0,0,strict_14_with_grace_period,40.7147,-73.98994,20,11023
96,1,1,10,1,1072.0,1072.0,100,1.0,4,1,0,Lower East Side,Manhattan,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,21,139,0.0,89.0,10,1,2,30,23,0,0,strict_14_with_grace_period,40.72008,-73.98786,20,11023
97,0,1,9,0,1803.0,1803.0,100,3.0,5,1,1,West Village,Manhattan,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,12,250,0.0,125.0,0,1,6,1125,5,0,0,strict_14_with_grace_period,40.73671,-74.00192,22,4471
98,0,1,9,0,2194.0,2194.0,80,2.0,5,1,1,Bedford-Stuyvesant,Brooklyn,Apartment,Private room,2,1.0,1.0,1.0,1,10,65,0.0,40.0,10,1,3,1125,21,0,0,moderate,40.69232,-73.93864,3,22526
99,0,1,9,0,1909.0,1909.0,100,1.0,5,1,1,Kips Bay,Manhattan,Apartment,Entire home/apt,2,1.0,0.0,1.0,1,27,220,200.0,75.0,0,1,7,1125,46,0,0,strict_14_with_grace_period,40.74266,-73.9792,11,1801
100,1,1,10,1,835.0,835.0,100,3.0,6,1,0,Murray Hill,Manhattan,Apartment,Shared room,1,1.0,1.0,1.0,1,12,49,0.0,20.0,0,1,3,30,113,0,0,strict_14_with_grace_period,40.75035,-73.97907,11,1801
101,0,1,9,1,835.0,835.0,100,3.0,6,1,0,Murray Hill,Manhattan,Apartment,Shared room,1,1.0,1.0,1.0,1,11,49,0.0,20.0,0,1,3,30,122,0,0,strict_14_with_grace_period,40.74946,-73.9785,11,1801
102,0,0,8,0,832.0,832.0,0,1.0,3,1,0,Hell's Kitchen,Manhattan,Apartment,Entire home/apt,8,1.0,3.0,5.0,1,27,499,500.0,199.0,25,4,2,30,16,1,0,strict_14_with_grace_period,40.76154,-73.99306,4,2527
103,1,1,10,1,1109.0,1109.0,100,4.0,5,1,1,Kensington,Brooklyn,Townhouse,Private room,1,1.0,1.0,1.0,1,23,36,0.0,25.0,0,1,2,1125,17,0,0,moderate,40.64179,-73.97941,1,1000
